What gender do you identify with?,What is your age?,Age range,What is your race?,About how much money do you make per year?,What is your highest level of education?,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","The typical Hollywood movie star is paid about 10 or 20 million dollars for every movie that they star in. Do you think it is fair that they are paid that much money, or unfair?","If you had to guess, in dollars per hour, what do you think the federal minimum wage is?","And in your opinion, in dollars per hour, what do you believe the federal minimum wage should be?","If you had to guess, in percentage, what do you believe the federal tax rate is for individuals making more than 500 thousand dollars per year?","And in your opinion, in percentage, what do you believe the federal tax rate should be for these individuals?","In general, do you believe that the government should redistribute wealth from the rich to the poor?","If the government were to redistribute wealth, do you think it would personally benefit you?","And if the government were to redistribute wealth, do you think it would benefit most of the people you know?","Would you support a universal basic income, in which every American would receive an annual sum of money from the government to pay for basic needs, like food and housing?",Do you feel that you are being fairly compensated by your employer for the work that you do?,"The average CEO is paid about 16 million dollars per year. Do you think it is fair that they are paid that much money, or unfair?","This next question is about your physical appearance, and you may choose not to respond if it makes you uncomfortable. On a scale of 1-10, how physically attractive are you?"
Female,39,35-44,White,50000,Some college,DK/REF,DK/REF,Strongly Disapprove,Fair,9,13,40,40,No,No,No,No,Yes,Fair,DK/REF
Male,90,65+,White,,High school or less,Democrat,Moderate,Strongly Disapprove,Unfair,,,,,Yes,No,DK/REF,No,No,Unfair,DK/REF
Female,64,55-64,White,,High school or less,DK/REF,Conservative,Strongly Disapprove,Fair,9,10,,,Yes,No,No,Yes,No,Unfair,DK/REF
Female,60,55-64,White,,High school or less,Independent,Conservative,Strongly Approve,Fair,8.75,10,,,No,No,Yes,No,DK/REF,Unfair,DK/REF
Female,64,55-64,White,50000,Graduate degree,Democrat,Moderate,Somewhat Disapprove,Unfair,12,13,,,No,No,No,No,No,Unfair,6
Male,92,65+,White,50000,College degree,Republican,Conservative,Somewhat Approve,Fair,20,15,,,Yes,No,No,Yes,DK/REF,Unfair,8
Male,34,25-34,White,21000,College degree,Democrat,Moderate,Strongly Approve,Unfair,8.5,10,,,Yes,Yes,Yes,Yes,Yes,DK/REF,8
Female,57,55-64,White,25000,High school or less,DK/REF,DK/REF,Strongly Approve,Unfair,20,15,50,,Yes,DK/REF,DK/REF,No,Yes,Unfair,5
Male,68,65+,White,15000,High school or less,Republican,Liberal,Strongly Approve,Unfair,8,8,,,No,No,Yes,No,No,Unfair,8
Male,66,65+,DK/REF,,College degree,Independent,Liberal,Strongly Disapprove,Unfair,9,10,38,65,No,No,No,No,DK/REF,Unfair,5
Male,50,45-54,White,100000,Graduate degree,Democrat,Liberal,Strongly Disapprove,DK/REF,7,15,25,50,Yes,No,No,Yes,Yes,Unfair,6
Female,46,45-54,White,,Some college,Democrat,Moderate,Strongly Disapprove,Fair,10.35,15,37,40,Yes,Yes,Yes,Yes,No,Unfair,7
Male,34,25-34,White,,Some college,Republican,Conservative,Strongly Approve,Fair,10,5,50,1,No,No,No,No,Yes,Fair,8
Female,32,25-34,White,18000,High school or less,Democrat,Liberal,Strongly Disapprove,Unfair,12,12,,,Yes,No,No,Yes,No,Unfair,6
Male,24,18-24,Other,40000,High school or less,Independent,Liberal,Strongly Disapprove,Fair,7.5,10,15,25,Yes,Yes,Yes,DK/REF,No,Unfair,7
Male,59,55-64,White,70000,Some college,Democrat,Moderate,Strongly Disapprove,Unfair,10,12,35,35,No,No,No,No,Yes,Unfair,5
Female,30,25-34,White,,College degree,Democrat,Liberal,Strongly Disapprove,Fair,9.5,15,25,,Yes,Yes,Yes,Yes,DK/REF,DK/REF,7
Male,51,45-54,White,55000,College degree,Democrat,Liberal,Strongly Disapprove,Unfair,10.75,15,24,35,Yes,No,No,Yes,Yes,Unfair,7
Female,23,18-24,White,,Graduate degree,Independent,Liberal,Strongly Disapprove,Fair,10.5,12,2,4,Yes,No,No,No,Yes,Fair,5
Male,70,65+,White,,College degree,Independent,Moderate,Strongly Approve,Unfair,13,13,18,18,No,No,No,No,Yes,Fair,7
Female,77,65+,White,,High school or less,Republican,DK/REF,DK/REF,DK/REF,7.5,10,50,25,Yes,No,No,No,DK/REF,Unfair,3
Male,56,55-64,White,42000,High school or less,Independent,DK/REF,Strongly Disapprove,Fair,10,14,34,25,Yes,No,Yes,No,DK/REF,Fair,7
Male,67,65+,White,83000,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,11,15,,,Yes,Yes,Yes,No,No,Unfair,8
Female,47,45-54,Other,125000,Graduate degree,Democrat,Liberal,Strongly Disapprove,Unfair,9,20,25,35,Yes,No,No,Yes,Yes,Unfair,5
Female,33,25-34,Asian,,College degree,Republican,DK/REF,Somewhat Approve,Fair,,,,,No,Yes,Yes,No,No,Unfair,DK/REF
Male,19,18-24,White,13000,Some college,Democrat,Liberal,Strongly Disapprove,Fair,8,13,1,40,Yes,No,Yes,No,No,Unfair,7
Male,62,55-64,White,25000,Some college,DK/REF,DK/REF,Strongly Approve,Fair,15,5,55,55,No,No,No,No,Yes,Fair,3
Female,66,65+,White,60000,Graduate degree,Independent,Conservative,Somewhat Disapprove,Unfair,10,15,38,40,No,No,No,No,Yes,Unfair,7
Male,73,65+,Black,,Some college,Republican,Conservative,Strongly Approve,DK/REF,9,9,26,20,No,No,No,No,Yes,DK/REF,DK/REF
Male,59,55-64,White,,Graduate degree,Independent,Conservative,Strongly Approve,Unfair,10,15,21,18,No,No,No,No,Yes,Fair,DK/REF
Female,63,55-64,White,,High school or less,Democrat,Moderate,Strongly Disapprove,DK/REF,,20,,15,Yes,No,Yes,Yes,No,Unfair,5
Male,45,45-54,White,50000,Graduate degree,Republican,Conservative,Strongly Approve,Fair,9.5,10,25,25,No,No,No,No,Yes,Fair,6
Female,59,55-64,White,,Some college,Republican,Moderate,Somewhat Approve,Unfair,11,13.5,,,No,No,No,No,Yes,Unfair,4
Female,80,65+,White,,High school or less,Republican,Conservative,DK/REF,Unfair,8,12,,,Yes,Yes,DK/REF,Yes,DK/REF,Unfair,DK/REF
Female,20,18-24,White,5148,High school or less,Independent,Moderate,Strongly Disapprove,Unfair,11,15,3,85,No,No,Yes,Yes,Yes,Unfair,6
Female,50,45-54,Latino,,High school or less,Democrat,Conservative,Somewhat Approve,Unfair,15,15,10,15,Yes,Yes,Yes,Yes,No,Unfair,5
Female,63,55-64,White,,Some college,Republican,Conservative,Strongly Approve,Unfair,8,10,30,25,No,No,No,No,Yes,Fair,Very attractive
Male,79,65+,White,40000,Graduate degree,Republican,Conservative,Strongly Approve,Fair,9,,25,,No,No,No,No,Yes,Fair,7
Male,35,35-44,Asian,45000,College degree,Independent,Conservative,Strongly Disapprove,Fair,,11,,,Yes,No,No,Yes,Yes,Unfair,5
Male,61,55-64,White,,Some college,Independent,Conservative,Strongly Approve,DK/REF,10,,31,31,No,No,No,No,Yes,Fair,8
Female,41,35-44,Latino,25000,High school or less,Independent,Moderate,Neither approve nor disapprove,Fair,11,11,,,No,Yes,No,Yes,Yes,Fair,8
Male,53,45-54,DK/REF,,High school or less,Republican,Moderate,Strongly Approve,Fair,10,10.5,,22,No,No,No,No,No,Unfair,8
Female,45,45-54,White,70000,Some college,Democrat,Conservative,Strongly Approve,Unfair,100,12.5,3,40,Yes,No,Yes,No,Yes,Unfair,4
Female,71,65+,White,35000,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,15,10,18,35,Yes,Yes,Yes,Yes,Yes,Unfair,7
Male,77,65+,White,,College degree,Republican,Conservative,Somewhat Approve,DK/REF,8.5,8.5,33,25,No,No,No,No,Yes,Fair,8
Male,70,65+,DK/REF,74000,Some college,Republican,Conservative,Strongly Approve,Fair,8.35,8.35,37,,No,No,No,No,Yes,DK/REF,7
Male,57,55-64,White,10000,College degree,Republican,Moderate,Strongly Approve,Fair,8.5,11,20,10,Yes,Yes,Yes,Yes,No,Unfair,7
Female,79,65+,White,,Graduate degree,Republican,Moderate,Strongly Approve,Fair,10,10,,,No,No,No,No,Yes,Fair,DK/REF
Female,66,65+,White,,Some college,Independent,Liberal,Strongly Disapprove,Fair,10,12,8,,No,No,Yes,No,Yes,Unfair,8
Female,69,65+,White,10000,Some college,Republican,Conservative,Strongly Approve,Unfair,10,10,25,30,No,No,No,No,Yes,Unfair,7
Male,89,65+,White,,Some college,Republican,Conservative,Strongly Approve,DK/REF,15,15,30,,No,No,DK/REF,No,No,Unfair,2
Male,80,65+,White,,High school or less,Democrat,Conservative,DK/REF,Fair,10,15,25,15,No,No,No,No,Yes,Unfair,7
Female,55,55-64,Latino,,Other,Democrat,Moderate,DK/REF,Unfair,12,12,15,15,Yes,No,Yes,Yes,No,Unfair,7
Male,72,65+,White,,High school or less,Republican,Conservative,Neither approve nor disapprove,DK/REF,15,,,,Yes,No,No,No,DK/REF,DK/REF,8
Female,57,55-64,White,100000,College degree,Democrat,Liberal,Strongly Disapprove,Unfair,10,15,15,25,Yes,No,Yes,Yes,Yes,Unfair,5
Male,57,55-64,White,25000,College degree,Republican,Conservative,Strongly Approve,Unfair,15,15,30,30,No,No,No,No,Yes,Unfair,5
Female,71,65+,White,,DK/REF,Democrat,Moderate,Strongly Approve,Unfair,15,,,,Yes,Yes,Yes,Yes,No,Unfair,5
Female,84,65+,White,,High school or less,Independent,Conservative,Somewhat Approve,Unfair,8,11,,5,Yes,No,No,No,Yes,Unfair,6
Male,62,55-64,Black,80000,College degree,Independent,Moderate,Strongly Disapprove,Fair,14,14,35,35,No,No,Yes,Yes,Yes,Fair,8
Male,57,55-64,White,30000,High school or less,Democrat,Liberal,Strongly Disapprove,Fair,7.25,15,20,25,Yes,No,No,No,Yes,Unfair,Not attractive at all
Female,68,65+,White,12000,Some college,Republican,Conservative,Strongly Approve,Fair,9,12,,10,No,No,DK/REF,No,DK/REF,Fair,Very attractive
Female,91,65+,White,,Graduate degree,Republican,Moderate,Strongly Approve,Unfair,6,,,10,Yes,No,No,No,Yes,Unfair,8
Male,73,65+,White,56000,Some college,Independent,Conservative,Strongly Approve,Fair,11,11,40,40,No,No,No,No,Yes,Fair,5
Female,76,65+,White,2000,High school or less,Republican,Moderate,Neither approve nor disapprove,DK/REF,7.5,15,50,50,DK/REF,DK/REF,No,Yes,No,Unfair,4
Female,99,65+,White,,Some college,Republican,Conservative,Strongly Approve,DK/REF,,,,,No,No,No,No,Yes,Fair,9
Male,72,65+,Black,,High school or less,Democrat,Liberal,Strongly Disapprove,DK/REF,10,15,,,Yes,No,No,Yes,Yes,Unfair,6
Female,81,65+,DK/REF,,Graduate degree,Democrat,Moderate,Strongly Disapprove,Unfair,17,25,75,70,Yes,Yes,Yes,Yes,DK/REF,Unfair,5
Female,79,65+,White,24000,Graduate degree,Independent,Conservative,Somewhat Approve,Unfair,10,10,37,37,No,No,No,No,No,Fair,6
Male,67,65+,White,,High school or less,DK/REF,Conservative,DK/REF,Unfair,7.25,9,,,Yes,Yes,Yes,Yes,No,Unfair,6
Male,71,65+,Black,,High school or less,DK/REF,Liberal,DK/REF,Fair,,,,,Yes,DK/REF,Yes,Yes,No,Fair,6
Female,54,45-54,White,,College degree,Independent,Moderate,Neither approve nor disapprove,DK/REF,10,15,10,,Yes,No,No,DK/REF,Yes,Unfair,5
Male,55,55-64,White,,High school or less,Republican,Conservative,Strongly Approve,Fair,9.75,9,,20,No,No,DK/REF,No,Yes,Fair,DK/REF
Male,70,65+,White,,Graduate degree,Democrat,Conservative,Somewhat Approve,Fair,8,15,,50,No,No,Yes,No,DK/REF,Unfair,DK/REF
Female,77,65+,White,23000,Some college,Republican,Conservative,Strongly Approve,Unfair,15,15,10,10,No,Yes,No,No,DK/REF,Unfair,5
Female,52,45-54,White,100000,High school or less,Republican,Conservative,Strongly Approve,Fair,7,,,,No,No,No,No,Yes,Fair,6
Female,29,25-34,White,24000,College degree,Independent,Liberal,Strongly Disapprove,Fair,8.75,18,,,Yes,Yes,Yes,Yes,No,Unfair,DK/REF
Female,68,65+,White,12000,Other,DK/REF,Conservative,DK/REF,DK/REF,10,12.5,30,,No,Yes,No,No,DK/REF,Fair,6
Female,34,25-34,White,,College degree,Republican,Conservative,Strongly Approve,DK/REF,7,,22,10,No,No,No,No,Yes,Fair,7
Female,32,25-34,White,6000,Some college,Republican,Conservative,Neither approve nor disapprove,Fair,30,30,20,,No,No,Yes,Yes,Yes,Unfair,6
Male,70,65+,White,,College degree,Democrat,Moderate,Strongly Disapprove,DK/REF,12,13,30,40,No,No,No,No,Yes,Unfair,DK/REF
Male,87,65+,White,,High school or less,Republican,Conservative,Strongly Approve,Fair,10,10,,,Yes,No,Yes,Yes,No,Unfair,DK/REF
Female,41,35-44,White,25000,College degree,Republican,Conservative,Strongly Approve,Fair,10,,30,30,No,No,No,No,Yes,Unfair,7
Female,79,65+,White,,Graduate degree,Democrat,Liberal,Strongly Disapprove,DK/REF,7.25,15,30,40,Yes,No,No,Yes,DK/REF,Unfair,Very attractive
Male,37,35-44,Black,50000,Some college,Independent,Moderate,Neither approve nor disapprove,Unfair,7,15,15,15,No,No,Yes,No,No,Fair,8
Male,42,35-44,Asian,100000,Graduate degree,Democrat,Moderate,Neither approve nor disapprove,DK/REF,10,15,,,No,Yes,Yes,No,Yes,Fair,DK/REF
Female,53,45-54,White,,College degree,Republican,Liberal,Strongly Approve,Fair,8.25,9,25,20,No,No,Yes,No,Yes,Fair,7
Female,32,25-34,Latino,50000,College degree,Independent,Moderate,DK/REF,Fair,15,20,2,20,Yes,No,No,No,Yes,Fair,8
Male,65,65+,White,24000,College degree,Republican,Conservative,Strongly Approve,Fair,10,12,15,15,No,No,No,No,Yes,Fair,7
Male,25,25-34,Latino,30000,High school or less,Independent,Conservative,Strongly Approve,Fair,20,,10,20,Yes,No,Yes,Yes,No,Unfair,Very attractive
Male,75,65+,White,,High school or less,DK/REF,DK/REF,DK/REF,DK/REF,,,,,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF,DK/REF
Female,76,65+,White,,Some college,Republican,Conservative,Strongly Approve,Unfair,15,17,75,35,No,No,No,No,Yes,Unfair,8
Male,59,55-64,White,,Other,Independent,Moderate,Strongly Disapprove,Unfair,12,15,28,38,Yes,No,Yes,No,No,Unfair,7
Male,70,65+,White,,Graduate degree,Republican,Conservative,Somewhat Approve,Unfair,15,15,,,No,No,No,No,DK/REF,Unfair,DK/REF
Male,50,45-54,Black,24000,High school or less,DK/REF,Liberal,Strongly Disapprove,Fair,12,12,,,No,Yes,No,Yes,No,Fair,8
Female,60,55-64,White,,Graduate degree,Democrat,Moderate,Strongly Disapprove,Unfair,7,15,35,50,Yes,No,Yes,Yes,Yes,Unfair,DK/REF
Male,68,65+,White,150000,College degree,Democrat,Liberal,Strongly Disapprove,Fair,7,15,75,75,Yes,Yes,Yes,No,DK/REF,Unfair,8
Female,23,18-24,White,30000,College degree,Independent,Conservative,Strongly Disapprove,Unfair,10,12,30,20,Yes,Yes,Yes,Yes,Yes,Unfair,6
Male,50,45-54,White,275000,College degree,Democrat,Liberal,Strongly Disapprove,Fair,8,15,33,40,Yes,No,Yes,No,Yes,Unfair,6
Male,25,25-34,Latino,50000,Graduate degree,Republican,Moderate,Strongly Disapprove,Unfair,8.75,10,40,40,Yes,Yes,No,Yes,Yes,Unfair,8
Female,73,65+,White,46000,Graduate degree,Independent,Liberal,Strongly Disapprove,Fair,12,15,28,36,Yes,No,No,Yes,Yes,Unfair,8
Male,73,65+,White,50000,Some college,Republican,Conservative,Strongly Approve,Fair,10,12,30,25,No,No,No,No,Yes,Fair,6
Female,55,55-64,White,7000,College degree,Independent,DK/REF,Strongly Disapprove,DK/REF,,12,,,DK/REF,Yes,Yes,Yes,DK/REF,DK/REF,8
Male,50,45-54,White,,Some college,Republican,Conservative,Strongly Approve,Fair,7.75,,32,32,No,No,No,No,No,DK/REF,DK/REF
Male,84,65+,White,,High school or less,Republican,Liberal,Strongly Approve,Unfair,5,15,25,25,No,No,No,No,No,Unfair,7
Female,61,55-64,Other,7000,Some college,Democrat,Liberal,Strongly Disapprove,Fair,9,14.5,,25,Yes,Yes,Yes,Yes,DK/REF,Fair,7
Male,48,45-54,White,,Graduate degree,Republican,Moderate,Somewhat Approve,DK/REF,10.5,15,35,30,No,No,No,No,Yes,Fair,DK/REF
Female,65,65+,White,20000,Some college,Democrat,Conservative,DK/REF,Fair,7,10,14,14,Yes,Yes,Yes,Yes,DK/REF,Unfair,4
Male,68,65+,White,200000,College degree,Independent,Conservative,Strongly Disapprove,Fair,7.5,9,35,35,No,No,No,No,Yes,Fair,7
Male,29,25-34,White,,Some college,Independent,Liberal,Somewhat Disapprove,Fair,7,,30,40,No,Yes,No,Yes,No,Fair,7
Male,33,25-34,White,250000,College degree,Independent,Conservative,Neither approve nor disapprove,Unfair,7,,35,35,No,No,No,DK/REF,Yes,Fair,8
Male,50,45-54,White,,College degree,Independent,Moderate,DK/REF,Fair,10,10,39,,Yes,No,No,No,Yes,Fair,DK/REF
Female,52,45-54,White,30000,Graduate degree,Independent,Liberal,Strongly Disapprove,Fair,7.75,15,35,35,DK/REF,No,Yes,Yes,Yes,Unfair,8
Female,24,18-24,DK/REF,,College degree,Independent,Conservative,Strongly Disapprove,Unfair,7,15,15,25,Yes,No,Yes,Yes,Yes,Unfair,7
Female,47,45-54,White,85000,College degree,DK/REF,Liberal,Somewhat Disapprove,Unfair,12,15,40,50,Yes,Yes,Yes,No,No,Unfair,8
Female,53,45-54,White,,Graduate degree,Independent,Moderate,Strongly Disapprove,Fair,8.25,12.15,35,,DK/REF,No,DK/REF,No,Yes,DK/REF,8
Female,50,45-54,White,10000,Graduate degree,Democrat,Conservative,DK/REF,Unfair,9,10,,3,No,No,No,Yes,No,Unfair,8
Male,60,55-64,DK/REF,,College degree,DK/REF,Liberal,Strongly Approve,Unfair,20,20,5,5,Yes,No,No,No,No,Unfair,6
Male,65,65+,White,,College degree,Independent,Moderate,Strongly Disapprove,DK/REF,12,15,22,30,No,No,No,Yes,Yes,Fair,DK/REF
Female,60,55-64,Latino,,College degree,Democrat,Moderate,Strongly Disapprove,Unfair,8.25,10.25,,,Yes,Yes,Yes,Yes,Yes,Unfair,6
Male,71,65+,White,70000,College degree,Independent,Moderate,Strongly Disapprove,Fair,15,15,20,25,Yes,No,No,No,Yes,Unfair,8
Male,37,35-44,White,,Graduate degree,Independent,Liberal,Strongly Disapprove,Unfair,7.25,10,20,35,No,Yes,Yes,Yes,No,Unfair,6
Female,55,55-64,White,,High school or less,Republican,Moderate,Strongly Approve,DK/REF,,12,40,30,No,No,Yes,No,Yes,DK/REF,5
Female,88,65+,White,,DK/REF,Democrat,Moderate,Somewhat Disapprove,Unfair,,15,,,Yes,Yes,No,DK/REF,DK/REF,Unfair,7
Female,80,65+,White,,College degree,Independent,Moderate,Strongly Disapprove,Unfair,12,20,25,25,Yes,No,No,No,Yes,Unfair,DK/REF
Female,53,45-54,White,50000,College degree,Republican,Moderate,Neither approve nor disapprove,Unfair,7.25,12,20,20,No,Yes,Yes,Yes,No,Unfair,8
Female,71,65+,White,,Graduate degree,Democrat,Liberal,Strongly Disapprove,Fair,7.25,10,35,90,Yes,No,No,Yes,DK/REF,Unfair,8
Female,65,65+,DK/REF,,Graduate degree,Independent,Moderate,Somewhat Approve,Fair,15,10,50,20,No,No,No,No,No,Unfair,5
Female,85,65+,White,,College degree,Independent,Moderate,Somewhat Disapprove,DK/REF,15,,28,15,No,No,No,No,Yes,Fair,8
Female,52,45-54,White,19000,College degree,Republican,Conservative,Strongly Approve,Unfair,15,15,30,,No,No,No,No,Yes,Unfair,2
Male,67,65+,White,,Graduate degree,Independent,Conservative,Strongly Approve,Fair,9,10,20,25,No,No,No,No,No,Fair,5
Female,82,65+,DK/REF,,High school or less,Independent,DK/REF,DK/REF,DK/REF,10,,,,Yes,Yes,Yes,DK/REF,Yes,Fair,DK/REF
Male,59,55-64,White,18000,Some college,Democrat,Conservative,Strongly Disapprove,Unfair,13,16,24,,Yes,No,Yes,Yes,DK/REF,Unfair,4
Male,68,65+,White,,College degree,Independent,Conservative,Strongly Approve,Fair,9,9,35,40,No,No,No,No,Yes,Fair,7
Male,66,65+,White,,Graduate degree,Democrat,Moderate,Strongly Disapprove,Unfair,7.25,14,28,35,DK/REF,No,No,No,Yes,Unfair,DK/REF
Female,60,55-64,White,70000,Some college,Democrat,Liberal,Strongly Disapprove,Unfair,8,12,10,25,No,DK/REF,No,No,DK/REF,Unfair,DK/REF
Female,84,65+,White,,High school or less,Republican,Conservative,Strongly Approve,Fair,15,,32,15,DK/REF,DK/REF,DK/REF,No,DK/REF,Unfair,DK/REF
Male,58,55-64,White,38000,High school or less,Republican,Conservative,Somewhat Approve,DK/REF,,,,,No,No,No,No,Yes,Fair,DK/REF
Male,56,55-64,White,,High school or less,Independent,Liberal,Somewhat Disapprove,Fair,11,15,10,25,No,Yes,Yes,Yes,No,Unfair,Very attractive
Female,73,65+,Black,,High school or less,Democrat,Conservative,Somewhat Disapprove,DK/REF,10,10,,,DK/REF,DK/REF,DK/REF,Yes,Yes,Unfair,8
Female,75,65+,White,38000,Some college,Democrat,Conservative,Somewhat Disapprove,Fair,8.5,10,5,40,Yes,Yes,Yes,No,DK/REF,Unfair,8
Female,70,65+,White,100000,Graduate degree,Democrat,Moderate,Strongly Disapprove,Unfair,7.25,15,32,40,No,No,No,Yes,DK/REF,Unfair,6
Female,97,65+,White,,High school or less,Independent,DK/REF,DK/REF,Unfair,,10,,,Yes,No,Yes,Yes,Yes,Unfair,5
Female,81,65+,White,75000,Graduate degree,Republican,Moderate,Strongly Approve,Unfair,10,15,33,33,No,Yes,No,No,Yes,Unfair,8
Female,50,45-54,Black,,College degree,Independent,Conservative,Somewhat Disapprove,Fair,8,12,2,25,DK/REF,No,No,No,No,DK/REF,Very attractive
Male,76,65+,White,26000,Some college,Republican,Moderate,Strongly Approve,Unfair,15,15,30,40,No,No,No,No,Yes,Unfair,7
Female,72,65+,White,,Graduate degree,Independent,Moderate,Strongly Disapprove,Unfair,8,15,,25,Yes,No,No,Yes,Yes,Unfair,8
Female,56,55-64,White,25000,College degree,Republican,Moderate,Strongly Approve,Unfair,8,10,15,28,No,No,No,No,DK/REF,Unfair,5
Female,59,55-64,White,8000,Some college,Democrat,Moderate,DK/REF,Unfair,10,12,,,Yes,No,Yes,Yes,DK/REF,Unfair,DK/REF
Male,63,55-64,White,23000,College degree,Democrat,Conservative,Strongly Disapprove,Fair,1000,12,10,33,Yes,Yes,Yes,Yes,No,Unfair,9
Male,89,65+,White,15000,Some college,Independent,Moderate,Strongly Disapprove,Unfair,7.5,10,50,50,No,Yes,Yes,No,DK/REF,Unfair,8
Female,80,65+,White,,Graduate degree,Democrat,Moderate,Strongly Disapprove,DK/REF,,,,,No,No,DK/REF,No,No,DK/REF,DK/REF
Male,61,55-64,White,,College degree,Independent,Conservative,Somewhat Disapprove,Unfair,9,15,20,28,No,No,No,No,Yes,Unfair,4
Male,68,65+,White,,Some college,Democrat,Moderate,Strongly Disapprove,Fair,7.5,10,22,25,Yes,No,No,Yes,No,Unfair,5
Female,59,55-64,White,,Graduate degree,Democrat,Liberal,Strongly Disapprove,Unfair,10,15,21,,Yes,No,No,Yes,Yes,Unfair,7
Female,89,65+,White,,High school or less,Independent,Moderate,DK/REF,Fair,6,12,,,Yes,No,Yes,Yes,DK/REF,Unfair,8
Female,54,45-54,Black,,Some college,Democrat,DK/REF,Strongly Disapprove,DK/REF,8.62,15,2,,Yes,Yes,Yes,Yes,Yes,Unfair,DK/REF
Female,54,45-54,White,28000,High school or less,Independent,Conservative,Neither approve nor disapprove,Unfair,8,10.5,8,8,Yes,No,No,Yes,No,Unfair,8
Male,49,45-54,White,250000,Graduate degree,Independent,Moderate,Somewhat Disapprove,Unfair,9,15,40,50,No,No,No,No,Yes,Unfair,6
Female,36,35-44,White,,Graduate degree,Independent,Liberal,Strongly Disapprove,Unfair,11,16,,,No,No,No,Yes,No,Unfair,DK/REF
Female,60,55-64,White,110000,High school or less,Independent,Moderate,Strongly Approve,Fair,13,13,35,,No,No,No,No,Yes,Fair,DK/REF
Male,30,25-34,White,100000,College degree,Republican,Conservative,Neither approve nor disapprove,Fair,8,,25,,No,No,No,No,Yes,Fair,7
Male,34,25-34,White,70000,Some college,Democrat,Liberal,Strongly Disapprove,DK/REF,8.25,10,25,30,No,No,Yes,No,Yes,Unfair,5
Female,44,35-44,Asian,80000,College degree,Republican,Conservative,Strongly Approve,Fair,9,9,25,25,No,No,Yes,No,No,Unfair,7
Male,69,65+,White,,High school or less,Republican,Conservative,Strongly Approve,Fair,8,10,25,25,DK/REF,No,Yes,No,DK/REF,Fair,7
Female,57,55-64,White,,College degree,Democrat,Moderate,Strongly Disapprove,Fair,8.95,9.95,36,33,No,No,No,No,Yes,Fair,7
Male,80,65+,White,70000,Graduate degree,Democrat,Liberal,Strongly Disapprove,DK/REF,15,15,40,40,No,No,No,No,Yes,DK/REF,5
Male,80,65+,White,90000,College degree,Democrat,Moderate,Strongly Disapprove,Fair,10,9,40,40,Yes,No,Yes,No,DK/REF,Unfair,Very attractive
Male,65,65+,White,,College degree,Democrat,Moderate,Strongly Disapprove,Fair,8,15,20,50,Yes,No,No,Yes,Yes,Unfair,5
Female,83,65+,White,,High school or less,Republican,Moderate,Strongly Approve,Unfair,11,15,,,No,No,No,No,No,Unfair,5
Female,26,25-34,White,,Some college,DK/REF,Moderate,Strongly Disapprove,Fair,8,11,,,Yes,Yes,Yes,Yes,No,Unfair,8
Female,58,55-64,White,36000,Graduate degree,Democrat,Liberal,Strongly Disapprove,DK/REF,,15,,,Yes,DK/REF,Yes,Yes,DK/REF,Unfair,DK/REF
Female,69,65+,White,36000,Graduate degree,Democrat,Liberal,Strongly Disapprove,Unfair,7.25,17,8,8,Yes,No,Yes,No,No,Unfair,5
Male,19,18-24,White,20000,Some college,Independent,Moderate,Somewhat Approve,Unfair,15,12,15,10,Yes,Yes,Yes,Yes,Yes,Unfair,8
Female,50,45-54,Asian,,Graduate degree,Republican,Liberal,Somewhat Disapprove,Fair,8,10,40,40,No,No,No,No,Yes,Unfair,7
Female,65,65+,White,50000,High school or less,Republican,Conservative,Strongly Approve,Fair,8.75,10,,25,No,No,No,No,Yes,Unfair,7
Male,64,55-64,White,80000,College degree,Republican,Moderate,Strongly Disapprove,Fair,7,18,38,38,No,No,No,No,Yes,Fair,6
Female,20,18-24,Latino,70000,Graduate degree,Democrat,Conservative,Strongly Disapprove,Fair,8.5,13,,5,No,No,Yes,No,Yes,Fair,8
Female,50,45-54,White,,Graduate degree,Independent,Moderate,DK/REF,Fair,11,11,,,No,Yes,Yes,Yes,Yes,Fair,DK/REF
Female,64,55-64,White,,High school or less,Independent,Conservative,Somewhat Approve,DK/REF,,8,,,Yes,DK/REF,Yes,Yes,DK/REF,DK/REF,5
Female,76,65+,White,,High school or less,Independent,Moderate,DK/REF,Unfair,7.5,,,,No,Yes,No,No,DK/REF,Fair,Very attractive
Female,37,35-44,White,34000,College degree,Independent,Conservative,DK/REF,DK/REF,,15,35,35,Yes,Yes,Yes,Yes,Yes,Unfair,7
Female,20,18-24,White,20000,Some college,Democrat,Liberal,Strongly Disapprove,Fair,9.5,12,40,25,No,Yes,Yes,Yes,Yes,Unfair,7
Male,19,18-24,White,,Some college,Republican,Conservative,Somewhat Approve,Fair,12,12,15,15,No,No,No,No,Yes,Fair,7
Female,73,65+,White,,College degree,Independent,DK/REF,Strongly Disapprove,Unfair,7.35,12,2,10,No,Yes,Yes,No,DK/REF,Unfair,5
Female,62,55-64,White,,College degree,Republican,Conservative,Strongly Approve,DK/REF,10,8,,,No,No,No,No,DK/REF,Unfair,8
